(-30, 0, -17)(0.113725, 0.760784, 0.258824)
(-24, 0, -17)(0.113725, 0.760784, 0.258824)
(-24, 0, -14)(1, 0.713725, 0)
(-18, 0, -17)(0.113725, 0.760784, 0.258824)
(-18, 0, -14)(1, 0.713725, 0)
(-12, 0, -17)(0.113725, 0.760784, 0.258824)
(-12, 0, -14)(1, 0.713725, 0)
(-6, 0, -17)(0.113725, 0.760784, 0.258824)
(-6, 0, -14)(1, 0.713725, 0)
(0, 0, -17)(0.113725, 0.760784, 0.258824)
(0, 0, -14)(1, 0.713725, 0)
(6, 0, -17)(0.113725, 0.760784, 0.258824)
(6, 0, -14)(1, 0.713725, 0)
(12, 0, -17)(0.113725, 0.760784, 0.258824)
(12, 0, -14)(1, 0.713725, 0)
(18, 0, -17)(0.113725, 0.760784, 0.258824)
(24, 0, -17)(0.113725, 0.760784, 0.258824)
(24, 0, -14)(1, 0.713725, 0)
(30, 0, -17)(0.113725, 0.760784, 0.258824)
(30, 0, -14)(1, 0.713725, 0)
